Audience,Category,Country,Country Name,Subcategory,Percentage
Global,General hotel feature importance,US,United States,Helps me relax and recharge,0.62
Global,General hotel feature importance,US,United States,Makes me feel “in the know”,0.29
Global,General hotel feature importance,US,United States,Makes me feel special/important,0.36
Global,General hotel feature importance,US,United States,Is a brand for someone like me,0.48
Global,General hotel feature importance,US,United States,Is a brand I would want to be seen using,0.36
Global,General hotel feature importance,US,United States,Is a brand I trust,0.63
Global,General hotel feature importance,UK,United Kingdom,Helps me relax and recharge,0.54
Global,General hotel feature importance,UK,United Kingdom,Makes me feel “in the know”,0.22
Global,General hotel feature importance,UK,United Kingdom,Makes me feel special/important,0.29
Global,General hotel feature importance,UK,United Kingdom,Is a brand for someone like me,0.39
Global,General hotel feature importance,UK,United Kingdom,Is a brand I would want to be seen using,0.24
Global,General hotel feature importance,UK,United Kingdom,Is a brand I trust,0.53
Global,General hotel feature importance,CN,China,Helps me relax and recharge,0.3
Global,General hotel feature importance,CN,China,Makes me feel “in the know”,0.31
Global,General hotel feature importance,CN,China,Makes me feel special/important,0.31
Global,General hotel feature importance,CN,China,Is a brand for someone like me,0.32
Global,General hotel feature importance,CN,China,Is a brand I would want to be seen using,0.25
Global,General hotel feature importance,CN,China,Is a brand I trust,0.39
Global,General hotel feature importance,UAE,United Arab Emirates,Helps me relax and recharge,0.55
Global,General hotel feature importance,UAE,United Arab Emirates,Makes me feel “in the know”,0.4
Global,General hotel feature importance,UAE,United Arab Emirates,Makes me feel special/important,0.45
Global,General hotel feature importance,UAE,United Arab Emirates,Is a brand for someone like me,0.48
Global,General hotel feature importance,UAE,United Arab Emirates,Is a brand I would want to be seen using,0.34
Global,General hotel feature importance,UAE,United Arab Emirates,Is a brand I trust,0.54
Global,General hotel feature importance,KSA,Saudi Arabia,Helps me relax and recharge,0.67
Global,General hotel feature importance,KSA,Saudi Arabia,Makes me feel “in the know”,0.55
Global,General hotel feature importance,KSA,Saudi Arabia,Makes me feel special/important,0.58
Global,General hotel feature importance,KSA,Saudi Arabia,Is a brand for someone like me,0.61
Global,General hotel feature importance,KSA,Saudi Arabia,Is a brand I would want to be seen using,0.46
Global,General hotel feature importance,KSA,Saudi Arabia,Is a brand I trust,0.67
Global,General hotel feature importance,DE,Germany,Helps me relax and recharge,0.44
Global,General hotel feature importance,DE,Germany,Makes me feel “in the know”,0.26
Global,General hotel feature importance,DE,Germany,Makes me feel special/important,0.32
Global,General hotel feature importance,DE,Germany,Is a brand for someone like me,0.33
Global,General hotel feature importance,DE,Germany,Is a brand I would want to be seen using,0.25
Global,General hotel feature importance,DE,Germany,Is a brand I trust,0.38
Global,General hotel feature importance,JP,Japan,Helps me relax and recharge,0.43
Global,General hotel feature importance,JP,Japan,Makes me feel “in the know”,0.12
Global,General hotel feature importance,JP,Japan,Makes me feel special/important,0.22
Global,General hotel feature importance,JP,Japan,Is a brand for someone like me,0.21
Global,General hotel feature importance,JP,Japan,Is a brand I would want to be seen using,0.15
Global,General hotel feature importance,JP,Japan,Is a brand I trust,0.38
Global,General hotel feature importance,IN,India,Helps me relax and recharge,0.68
Global,General hotel feature importance,IN,India,Makes me feel “in the know”,0.52
Global,General hotel feature importance,IN,India,Makes me feel special/important,0.58
Global,General hotel feature importance,IN,India,Is a brand for someone like me,0.57
Global,General hotel feature importance,IN,India,Is a brand I would want to be seen using,0.53
Global,General hotel feature importance,IN,India,Is a brand I trust,0.69
Global,Hilton satisfaction,US,United States,Helps me relax and recharge,0.53
Global,Hilton satisfaction,US,United States,Makes me feel “in the know”,0.38
Global,Hilton satisfaction,US,United States,Makes me feel special/important,0.44
Global,Hilton satisfaction,US,United States,Is a brand for someone like me,0.48
Global,Hilton satisfaction,US,United States,Is a brand I would want to be seen using,0.5
Global,Hilton satisfaction,US,United States,Is a brand I trust,0.55
Global,Hilton satisfaction,UK,United Kingdom,Helps me relax and recharge,0.41
Global,Hilton satisfaction,UK,United Kingdom,Makes me feel “in the know”,0.3
Global,Hilton satisfaction,UK,United Kingdom,Makes me feel special/important,0.37
Global,Hilton satisfaction,UK,United Kingdom,Is a brand for someone like me,0.35
Global,Hilton satisfaction,UK,United Kingdom,Is a brand I would want to be seen using,0.4
Global,Hilton satisfaction,UK,United Kingdom,Is a brand I trust,0.42
Global,Hilton satisfaction,CN,China,Helps me relax and recharge,0.35
Global,Hilton satisfaction,CN,China,Makes me feel “in the know”,0.34
Global,Hilton satisfaction,CN,China,Makes me feel special/important,0.36
Global,Hilton satisfaction,CN,China,Is a brand for someone like me,0.35
Global,Hilton satisfaction,CN,China,Is a brand I would want to be seen using,0.37
Global,Hilton satisfaction,CN,China,Is a brand I trust,0.4
Global,Hilton satisfaction,UAE,United Arab Emirates,Helps me relax and recharge,0.5
Global,Hilton satisfaction,UAE,United Arab Emirates,Makes me feel “in the know”,0.46
Global,Hilton satisfaction,UAE,United Arab Emirates,Makes me feel special/important,0.48
Global,Hilton satisfaction,UAE,United Arab Emirates,Is a brand for someone like me,0.49
Global,Hilton satisfaction,UAE,United Arab Emirates,Is a brand I would want to be seen using,0.48
Global,Hilton satisfaction,UAE,United Arab Emirates,Is a brand I trust,0.53
Global,Hilton satisfaction,KSA,Saudi Arabia,Helps me relax and recharge,0.61
Global,Hilton satisfaction,KSA,Saudi Arabia,Makes me feel “in the know”,0.57
Global,Hilton satisfaction,KSA,Saudi Arabia,Makes me feel special/important,0.62
Global,Hilton satisfaction,KSA,Saudi Arabia,Is a brand for someone like me,0.63
Global,Hilton satisfaction,KSA,Saudi Arabia,Is a brand I would want to be seen using,0.59
Global,Hilton satisfaction,KSA,Saudi Arabia,Is a brand I trust,0.64
Global,Hilton satisfaction,DE,Germany,Helps me relax and recharge,0.41
Global,Hilton satisfaction,DE,Germany,Makes me feel “in the know”,0.31
