Audience,Quarter,Feature,Hotel,Value
Millennials,Q4 2022,Unaided Awareness,Hilton,17%
Millennials,Q4 2022,Unaided Awareness,Marriott,9%
Gen X,Q4 2022,Unaided Awareness,Hilton,23%
Gen X,Q4 2022,Unaided Awareness,Marriott,16%
Boomers,Q4 2022,Unaided Awareness,Hilton,33%
Boomers,Q4 2022,Unaided Awareness,Marriott,24%
Millennials,Q1 2023,Unaided Awareness,Hilton,18%
Millennials,Q1 2023,Unaided Awareness,Marriott,7%
Gen X,Q1 2023,Unaided Awareness,Hilton,20%
Gen X,Q1 2023,Unaided Awareness,Marriott,11%
Boomers,Q1 2023,Unaided Awareness,Hilton,34%
Boomers,Q1 2023,Unaided Awareness,Marriott,27%
Millennials,Q2 2023,Unaided Awareness,Hilton,18%
Millennials,Q2 2023,Unaided Awareness,Marriott,12%
Gen X,Q2 2023,Unaided Awareness,Hilton,38%
Gen X,Q2 2023,Unaided Awareness,Marriott,13%
Boomers,Q2 2023,Unaided Awareness,Hilton,33%
Boomers,Q2 2023,Unaided Awareness,Marriott,31%
Millennials,Q3 2023,Unaided Awareness,Hilton,23%
Millennials,Q3 2023,Unaided Awareness,Marriott,13%
Gen X,Q3 2023,Unaided Awareness,Hilton,24%
Gen X,Q3 2023,Unaided Awareness,Marriott,14%
Boomers,Q3 2023,Unaided Awareness,Hilton,29%
Boomers,Q3 2023,Unaided Awareness,Marriott,24%
Millennials,Q4 2023,Unaided Awareness,Hilton,21%
Millennials,Q4 2023,Unaided Awareness,Marriott,12%
Gen X,Q4 2023,Unaided Awareness,Hilton,30%
Gen X,Q4 2023,Unaided Awareness,Marriott,19%
Boomers,Q4 2023,Unaided Awareness,Hilton,36%
Boomers,Q4 2023,Unaided Awareness,Marriott,30%
