Brand,Spend
Affiliate,4793447
Amadeus,0
Amex,737800
Brand LF Display,989575
Brand Linear TV,0
Brand Retargeting Display,1562667
Brand UF Display,550100
Branded Paid Search,4881832
Cardlytics,969743
Cinema,0
Digital Partnerships,0
Enterprise Linear TV,32697175
Enterprise OLV,7591645
Expedia Travel Ads,0
FEP,15960161
Generic Paid Search,29146995
Influencers,709804
LF DSP - DM,0
LF DSP - DYN,0
LF DSP - MF PRO,0
LF DSP - OLV,0
LF DSP - Partner,0
LF Social,20422096
LF Social - DM,0
LF Social - DYN,0
LF Social - MF PRO,0
LF Social - Partner,0
Native,5749151
NonBrand LF Display,2191587
NonBrand UF Display,1444839
Sponsored Meta Search,16138782
TABA + Yelp,4484592
Total Audio,3900873
Total OOH,4487333
Total Radio,0
Traditional Meta Search,15941528
Travel Ads,10660496
UF Social,16081402
